Customer ID,Purchase Date,Product Category,Quantity Purchased,Price per Item,Total Purchase Amount
8b4319a3,2023-10-03,Beauty,8,360.74,2885.92
26521cce,2024-07-22,Electronics,5,194.11,970.55
c770f097,2023-07-14,Beauty,9,389.25,3503.25
628bb204,2024-05-31,Sports,4,215.18,860.72
5e8cd747,2024-04-01,Electronics,2,305.89,611.78
948a8460,2025-01-04,Electronics,7,137.68,963.76
d2af5998,2023-03-09,Books,1,212.51,212.51
49707a1b,2023-06-05,Toys,9,61.1,549.9
80232e6e,2023-04-19,Toys,9,400.09,3600.81
5d7debaf,2024-02-15,Clothing,10,267.25,2672.5
2b8e12b4,2023-06-01,Books,3,130.53,391.59
c2fec680,2024-12-20,Groceries,6,46.8,280.8
003316e4,2023-10-31,Groceries,7,326.89,2288.23
a8e6f217,2024-11-30,Books,10,82.54,825.4
97cea4ff,2023-09-30,Beauty,3,110.79,332.37
07a0a69e,2024-08-22,Electronics,9,25.66,230.94
fefb60e7,2023-03-04,Groceries,3,197.48,592.44
abcb515f,2024-05-21,Books,3,156.5,469.5
18f52f04,2023-05-10,Groceries,8,365.86,2926.88
0346ad0f,2024-09-20,Groceries,7,370.64,2594.48
aeb087df,2024-09-10,Books,2,184.35,368.7
41a64363,2023-11-18,Sports,8,309.89,2479.12
de93cf4e,2024-02-24,Groceries,3,327.44,982.32
e299e855,2023-09-24,Books,10,175.09,1750.9
3bd8e6df,2025-02-12,Books,5,95.38,476.9
5b3451cc,2024-06-21,Toys,10,403.62,4036.2
8b2e587a,2024-01-26,Books,8,456.27,3650.16
5f55f51d,2023-12-16,Clothing,4,68.33,273.32
f6617967,2024-02-01,Groceries,2,317.65,635.3
2c04700d,2023-03-24,Clothing,4,269.89,1079.56
2fecab13,2023-10-26,Groceries,5,436.0,2180.0
1c4ebc34,2023-10-28,Clothing,8,88.72,709.76
b74fc4c8,2024-12-04,Toys,3,383.06,1149.18
208517fd,2023-12-22,Toys,2,52.06,104.12
2446edab,2025-02-10,Sports,6,303.42,1820.52
268cee4a,2024-09-17,Books,6,102.67,616.02
95cd2491,2024-03-15,Groceries,4,331.69,1326.76
1dc1e049,2023-11-28,Books,5,244.82,1224.1
e6630b91,2023-12-28,Electronics,6,131.84,791.04
bc763203,2023-12-10,Books,2,324.37,648.74
76373ae8,2023-04-01,Electronics,10,454.94,4549.4
